epoch,train_loss,task_loss,indep_loss,bias_loss,ib_loss,lr,grad_norm,time_elapsed
0,8.453271335652945,1.4267408810320357,66.70904305895162,0.6997975178424718,0.5727224163013924,0.001,0,46.07473421096802
1,1.7274031303773218,1.332386214993907,0.6712395534678052,0.6449063553324362,0.5439774794275886,0.001,0,46.27105641365051
2,1.5202634905628463,1.1939503355834526,0.5191476639022772,0.538025939868381,0.5385406611504445,0.001,0,45.27468276023865
3,1.4790621182407913,1.12333840084107,0.9400372461224339,0.5125523494509395,0.5443800478067609,0.001,0,46.04093909263611
4,1.4080581062014212,1.1136973495801645,0.520739734390118,0.4737905869576787,0.5391479602287125,0.001,0,45.619102478027344
5,1.3407467483660795,1.0629913935303479,0.526821326780084,0.439139305743089,0.5503556639044065,0.001,0,45.53726530075073
6,1.304387796620232,1.0347343321665692,0.5216815945757183,0.42403073462215346,0.5469924757093898,0.001,0,45.66414403915405
7,1.2821202736064243,1.0128810937699182,0.5244625816688114,0.422566813788924,0.5509505987066203,0.001,0,45.49122858047485
8,1.2224448541398143,0.9694062068618076,0.5221379922808905,0.3906671109180386,0.5491291664472804,0.001,0,48.09071135520935
9,1.1871724975024027,0.9310708105553289,0.5203971333416708,0.3972000801737408,0.5461925745473554,0.001,0,45.47008657455444
10,1.2271781240865418,0.9754649701418112,0.5193012098410744,0.3888113312777507,0.5377362817373036,0.001,0,45.31130337715149
11,1.180830151872498,0.9288402475133295,0.5265998851824587,0.38761604558231283,0.552188733352598,0.001,0,44.904149770736694
12,1.1003173388543959,0.862903986679379,0.5218404688282393,0.35959408006074745,0.5432260660961115,0.001,0,45.13871192932129
13,1.1694341497704959,0.9297544495016672,0.5269183322588945,0.36302858394320375,0.5473570489724231,0.001,0,46.2288281917572
14,1.1128388890012488,0.8642866014085346,0.5262465740585685,0.3809023866349779,0.5476427138748381,0.001,0,45.32163095474243
15,1.1313313104739688,0.9065302471568375,0.5197293749698902,0.3347374142949098,0.5459412016450065,0.001,0,45.69850945472717
16,1.105778182976862,0.8663971512595019,0.5298827408600816,0.36189222295386914,0.5446638843108794,0.001,0,45.24170160293579
17,1.1484649408645768,0.9134011944368383,0.5591086426084868,0.34730297437364693,0.5501384781008155,0.001,0,45.37374949455261
18,1.1042491808152712,0.8739877616167855,0.5188794835132087,0.34594998858340337,0.5398472934492622,0.001,0,45.33370327949524
19,1.0421737108567406,0.8217613716353505,0.5211976918439566,0.3258122300185155,0.5386452197815265,0.001,0,45.86801075935364
20,1.098398402920023,0.8686942932206827,0.6540666037229761,0.3177049259814285,0.5444980042175783,0.001,0,46.970479011535645
21,1.0280191080476508,0.8018678296685918,0.5222088447424239,0.3370701997420609,0.5395287801113763,0.001,0,47.5810763835907
22,1.4953180867721187,0.8139187407415808,5.226173546366808,0.3066275420003775,0.5468168364053287,0.001,0,45.36778736114502
23,1.0048957591410164,0.775981080066847,0.5368371344103576,0.3398049196757087,0.5328498365447635,0.001,0,44.85396957397461
24,1.0368191636649169,0.8042395690845043,0.5210858302212372,0.3501591933665856,0.5391408387358336,0.001,0,44.71083164215088
25,0.9809355482055924,0.769770277081809,0.5244074690213317,0.3066545162053759,0.5397257818636525,0.001,0,45.54785442352295
26,0.9872823778280488,0.766364278988875,0.51886414932237,0.32732965129226366,0.5366849916126826,0.001,0,45.61917805671692
27,0.9242278438065641,0.7229365870236233,0.5268404728180094,0.2865046194968671,0.5354892347267385,0.001,0,45.64564824104309
28,0.9924921587468879,0.7803038366997356,0.5194453006157548,0.30976067772901034,0.536344729210654,0.001,0,45.63291692733765
29,0.9875002922923254,0.7689167851808011,0.5240075833788796,0.3217131435935352,0.5326168881137742,0.001,0,45.486748933792114
